subject;predicate;behaviors
2;canister;drop,grasp,hold,lift,look,press,push
2;styrofoam;grasp,hold,lift,look
2;medium-sized;hold,look,push
2;tall;look
2;short;look
2;liquid;drop,grasp,hold,lift,look,lower,press,push
2;light;drop,grasp,hold,lift,look
2;clear;look
2;metal;drop,grasp,hold,lift,look,press
2;object;drop,grasp,hold,lift,look,lower,press,push
2;aerosol;drop,look
2;bottle;drop,grasp,hold,lift,look,press
2;pineapple;grasp,hold,look
3;text;look
3;neon;look
3;yellow;look
3;bright;look
3;paper;grasp,hold
3;crayon;drop,grasp,lift
3;rough;grasp,look,press
3;pencil-shaped;grasp,lift,look
3;cup;grasp,lift
3;transparent;push
3;half-full;lift,look
3;black;look
3;orange;look
3;rectangle;hold,look
3;brown;look
3;coffee;grasp,look
3;fat;look,push
3;chips;grasp,hold,look
3;silver;lift,look
3;rattles;lift,push
3;gray;look
3;aluminum;hold,press,push
3;large;look,push
3;small;look,push
3;soft;grasp,look,press
3;round;look,push
3;heavy;grasp,lift
3;squishy;grasp,hold,press
3;orange-topped;look,press
3;blue;look
3;container;grasp
3;purple;look
3;tube;push
3;red;look
3;can;grasp,press
3;full;hold,lift
3;water;drop,look,lower,press
3;cylindrical;grasp
3;tub;grasp,lift
3;colored;look
3;thing;grasp,lift,look
3;beans;lift,look,press
3;narrow;grasp
3;shiny;look
3;hollow;grasp,lift
3;open;look,press
3;spraycan;lift,look,push
3;silent;drop
3;top;press
3;spiky;hold
3;tiny;look
3;plastic;drop,grasp
3;white;look
3;empty;drop,look
3;wide;look
3;inside;grasp,press
3;cap;drop,look
3;rectangular;grasp,look
3;thin;grasp,look
3;cylinder;grasp
3;lid;hold
3;metallic;drop,grasp
3;prism;push
3;green;look
3;roll;push
3;circular;drop,grasp,press,push
3;circles;drop,press,push
3;pink;look
3;canister;grasp
3;styrofoam;drop,grasp
3;medium-sized;grasp,hold,look
3;tall;look,press
3;short;look,press
3;liquid;drop,press
3;light;drop,grasp,lift
3;clear;grasp,press,push
3;metal;drop,grasp,press,push
3;object;grasp,hold,lift,look,press,push
3;aerosol;look
3;bottle;grasp,look,press
3;pineapple;grasp,hold,look,press
4;text;look
4;neon;look
4;yellow;look
4;bright;look
4;paper;drop,hold,lift,look,push
4;crayon;drop,grasp,hold,lift,look,lower,push
4;rough;grasp,hold,look,press
4;pencil-shaped;grasp,hold,look,press
4;cup;drop,grasp,hold,lift,look,lower,push
4;transparent;look
4;half-full;hold,lift,look,lower
4;black;look
4;orange;look
4;rectangle;grasp,look,press
4;brown;look
4;coffee;lift,look,lower
4;fat;grasp,lift,look,lower,press
4;chips;grasp,look,press
4;silver;look
4;rattles;lift,lower
4;gray;look
4;aluminum;grasp,look,press
4;large;grasp,hold,look,push
4;small;grasp,hold,look,push
